LENGTH_OF_TEXT,DOES_HAVE_SPAMMY_WORDS,DOES_HAVE_LINKS,CLASS_LABEL
111,FALSE,FALSE,ham
29,FALSE,FALSE,ham
155,TRUE,FALSE,spam
49,FALSE,FALSE,ham
61,FALSE,FALSE,ham
148,TRUE,FALSE,spam
77,FALSE,FALSE,ham
160,FALSE,FALSE,ham
158,TRUE,FALSE,spam
154,TRUE,FALSE,spam
109,FALSE,FALSE,ham
136,FALSE,FALSE,spam
156,TRUE,TRUE,spam
196,FALSE,FALSE,ham
35,FALSE,FALSE,ham
149,FALSE,TRUE,spam
26,FALSE,FALSE,ham
81,FALSE,FALSE,ham
58,FALSE,FALSE,ham
156,FALSE,FALSE,spam
41,FALSE,FALSE,ham
49,FALSE,FALSE,ham
53,FALSE,FALSE,ham
88,FALSE,FALSE,ham
57,FALSE,FALSE,ham
144,FALSE,FALSE,ham
30,FALSE,FALSE,ham
134,FALSE,FALSE,ham
75,FALSE,FALSE,ham
64,FALSE,FALSE,ham
130,FALSE,FALSE,ham
189,FALSE,FALSE,ham
29,FALSE,FALSE,ham
84,FALSE,FALSE,ham
159,FALSE,FALSE,spam
123,FALSE,FALSE,ham
47,FALSE,FALSE,ham
28,FALSE,FALSE,ham
27,FALSE,FALSE,ham
155,FALSE,FALSE,ham
82,FALSE,FALSE,ham
142,FALSE,FALSE,ham
172,TRUE,FALSE,spam
19,FALSE,FALSE,ham
72,FALSE,FALSE,ham
32,FALSE,FALSE,ham
45,FALSE,FALSE,ham
31,FALSE,FALSE,ham
67,FALSE,FALSE,ham
148,FALSE,FALSE,ham
58,FALSE,FALSE,ham
124,FALSE,FALSE,ham
80,FALSE,FALSE,ham
289,FALSE,FALSE,ham
120,FALSE,FALSE,spam
76,FALSE,FALSE,ham
161,TRUE,FALSE,spam
34,FALSE,FALSE,ham
22,FALSE,FALSE,ham
40,FALSE,FALSE,ham
108,FALSE,FALSE,ham
48,FALSE,FALSE,ham
25,FALSE,FALSE,ham
56,FALSE,FALSE,ham
110,FALSE,FALSE,ham
153,FALSE,FALSE,spam
122,FALSE,FALSE,ham
161,FALSE,FALSE,spam
78,FALSE,FALSE,spam
34,FALSE,FALSE,ham
46,FALSE,FALSE,ham
29,FALSE,FALSE,ham
45,FALSE,FALSE,ham
42,FALSE,FALSE,ham
20,FALSE,FALSE,ham
43,TRUE,FALSE,ham
73,FALSE,FALSE,ham
50,FALSE,FALSE,ham
42,FALSE,FALSE,ham
76,FALSE,FALSE,ham
22,FALSE,FALSE,ham
32,FALSE,FALSE,ham
32,FALSE,FALSE,ham
36,FALSE,FALSE,ham
14,FALSE,FALSE,ham
55,FALSE,FALSE,ham
121,FALSE,FALSE,ham
144,FALSE,FALSE,ham
42,FALSE,FALSE,ham
41,TRUE,FALSE,ham
62,FALSE,FALSE,ham
195,FALSE,FALSE,ham
141,FALSE,FALSE,ham
139,FALSE,FALSE,spam
